action,plants,actionMs,allocatedBytes,maxFrameMs,plantInfoMs,worldChangedMs,guideMs,inventoryBuildMs,inventoryInitMs,inventorySubscribeMs,createMs,cloneMs,spawnMs,variantMs,writeMs,replayMs,installMs,findReplayMs,expandReplayMs,placementValidationMs,traitsMs,measureMs,scoreMs,selectStageMs,matchesMs,requirementsMs,isReadyMs
water.walk,36,0.000,406714,5.037,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.685,0.501,0.000,0.030,0.000,0.471,0.000,0.000,0.000,0.000,0.000,0.000,0.000
water.walk,36,0.001,385134,5.366,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.221,0.093,0.000,0.020,0.000,0.072,0.000,0.000,0.000,0.000,0.000,0.000,0.000
water.walk,36,0.001,342726,4.416,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.260,0.113,0.000,0.024,0.000,0.088,0.000,0.000,0.000,0.000,0.000,0.000,0.000
water.walk,36,0.001,342878,3.595,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.212,0.096,0.000,0.020,0.000,0.075,0.000,0.000,0.000,0.000,0.000,0.000,0.000
water.walk,36,0.001,407322,4.689,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.654,0.493,0.000,0.032,0.000,0.461,0.000,0.000,0.000,0.000,0.000,0.000,0.000
water.walk,36,0.001,385742,4.796,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.209,0.089,0.000,0.021,0.000,0.068,0.000,0.000,0.000,0.000,0.000,0.000,0.000
water.walk,36,0.001,343334,4.189,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.279,0.109,0.000,0.021,0.000,0.087,0.000,0.000,0.000,0.000,0.000,0.000,0.000
water.walk,36,0.001,343486,3.503,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.203,0.093,0.000,0.019,0.000,0.074,0.000,0.000,0.000,0.000,0.000,0.000,0.000
water.walk,36,0.001,343638,3.487,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.203,0.090,0.000,0.019,0.000,0.070,0.000,0.000,0.000,0.000,0.000,0.000,0.000
water.walk,36,0.001,408082,5.473,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.716,0.540,0.000,0.030,0.000,0.509,0.000,0.000,0.000,0.000,0.000,0.000,0.000
water.walk,36,0.001,386502,5.241,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.227,0.100,0.000,0.023,0.000,0.077,0.000,0.000,0.000,0.000,0.000,0.000,0.000
water.walk,36,0.001,344094,3.626,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.239,0.100,0.000,0.022,0.000,0.077,0.000,0.000,0.000,0.000,0.000,0.000,0.000
water.walk,36,0.001,344246,3.536,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.201,0.088,0.000,0.020,0.000,0.068,0.000,0.000,0.000,0.000,0.000,0.000,0.000
water.walk,36,0.003,636711,5.977,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.407,1.054,0.000,0.073,0.000,0.979,0.000,0.000,0.000,0.000,0.000,0.000,0.000
water.walk,36,0.001,1376418,7.771,0.000,0.001,1.936,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.192,0.090,0.000,0.018,0.000,0.071,0.000,0.000,0.000,0.505,0.000,0.062,0.052
water.walk,36,0.001,345160,4.826,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.325,0.142,0.000,0.036,0.000,0.106,0.000,0.000,0.000,0.000,0.000,0.000,0.000
water.walk,36,0.001,409602,4.911,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.765,0.593,0.000,0.031,0.000,0.561,0.000,0.000,0.000,0.000,0.000,0.000,0.000
water.walk,36,0.001,407818,6.011,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.217,0.092,0.000,0.018,0.000,0.074,0.000,0.000,0.000,0.000,0.000,0.000,0.000
water.walk,36,0.001,352529,5.272,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.266,0.116,0.000,0.031,0.000,0.084,0.000,0.000,0.000,0.000,0.000,0.000,0.000
water.walk,36,0.001,345766,4.692,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.254,0.110,0.000,0.026,0.000,0.083,0.000,0.000,0.000,0.000,0.000,0.000,0.000
water.walk,36,0.001,410210,5.646,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.721,0.525,0.000,0.036,0.000,0.488,0.000,0.000,0.000,0.000,0.000,0.000,0.000
water.walk,36,0.001,388630,4.878,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.212,0.093,0.000,0.022,0.000,0.070,0.000,0.000,0.000,0.000,0.000,0.000,0.000
water.walk,36,0.002,346222,4.179,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.273,0.118,0.000,0.028,0.000,0.089,0.000,0.000,0.000,0.000,0.000,0.000,0.000
water.walk,36,0.001,346374,3.611,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.214,0.092,0.000,0.018,0.000,0.073,0.000,0.000,0.000,0.000,0.000,0.000,0.000
water.walk,36,0.001,410818,5.031,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.686,0.512,0.000,0.028,0.000,0.483,0.000,0.000,0.000,0.000,0.000,0.000,0.000
water.walk,36,0.001,389238,5.751,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.241,0.102,0.000,0.022,0.000,0.079,0.000,0.000,0.000,0.000,0.000,0.000,0.000
water.walk,36,0.001,346830,3.748,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.244,0.098,0.000,0.024,0.000,0.073,0.000,0.000,0.000,0.000,0.000,0.000,0.000
water.walk,36,0.001,346982,3.988,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.236,0.103,0.000,0.023,0.000,0.080,0.000,0.000,0.000,0.000,0.000,0.000,0.000
water.walk,36,0.001,411426,5.647,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.684,0.500,0.000,0.031,0.000,0.468,0.000,0.000,0.000,0.000,0.000,0.000,0.000
water.walk,36,0.001,389846,5.225,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.244,0.104,0.000,0.026,0.000,0.078,0.000,0.000,0.000,0.000,0.000,0.000,0.000
water.walk,36,0.001,347438,3.650,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.227,0.098,0.000,0.021,0.000,0.076,0.000,0.000,0.000,0.000,0.000,0.000,0.000
