action,plants,actionMs,allocatedBytes,maxFrameMs,plantInfoMs,worldChangedMs,guideMs,inventoryBuildMs,inventoryInitMs,inventorySubscribeMs,createMs,cloneMs,spawnMs,variantMs,writeMs,replayMs,installMs,findReplayMs,expandReplayMs,placementValidationMs,traitsMs,measureMs,scoreMs,selectStageMs,matchesMs,requirementsMs,isReadyMs
water.walk,0,0.000,201774,3.705,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.381,0.169,0.000,0.027,0.000,0.141,0.000,0.000,0.000,0.000,0.000,0.000,0.000
water.walk,0,0.000,257984,4.946,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.607,0.459,0.000,0.026,0.000,0.432,0.000,0.000,0.000,0.000,0.000,0.000,0.000
water.walk,0,0.001,236404,4.815,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.232,0.103,0.000,0.024,0.000,0.079,0.000,0.000,0.000,0.000,0.000,0.000,0.000
water.walk,0,0.002,193996,3.222,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.215,0.098,0.000,0.021,0.000,0.076,0.000,0.000,0.000,0.000,0.000,0.000,0.000
water.walk,0,0.000,194148,3.371,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.203,0.087,0.000,0.019,0.000,0.068,0.000,0.000,0.000,0.000,0.000,0.000,0.000
water.walk,0,0.001,258592,4.181,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.587,0.450,0.000,0.028,0.000,0.421,0.000,0.000,0.000,0.000,0.000,0.000,0.000
water.walk,0,0.001,237012,5.977,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.315,0.118,0.000,0.022,0.000,0.096,0.000,0.000,0.000,0.000,0.000,0.000,0.000
water.walk,0,0.001,194604,3.672,0.000,0.004,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.238,0.105,0.000,0.023,0.000,0.081,0.000,0.000,0.000,0.000,0.000,0.000,0.000
water.walk,0,0.001,194756,3.295,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.206,0.093,0.000,0.022,0.000,0.070,0.000,0.000,0.000,0.000,0.000,0.000,0.000
water.walk,0,0.001,194908,3.450,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.210,0.092,0.000,0.019,0.000,0.073,0.000,0.000,0.000,0.000,0.000,0.000,0.000
water.walk,0,0.001,259352,4.544,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.722,0.559,0.000,0.025,0.000,0.534,0.000,0.000,0.000,0.000,0.000,0.000,0.000
water.walk,0,0.001,237772,4.621,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.217,0.105,0.000,0.021,0.000,0.084,0.000,0.000,0.000,0.000,0.000,0.000,0.000
water.walk,0,0.000,195364,4.052,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.217,0.097,0.000,0.021,0.000,0.076,0.000,0.000,0.000,0.000,0.000,0.000,0.000
water.walk,0,0.001,195516,3.276,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.232,0.099,0.000,0.023,0.000,0.076,0.000,0.000,0.000,0.000,0.000,0.000,0.000
water.walk,0,0.000,195668,2.974,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.201,0.085,0.000,0.017,0.000,0.068,0.000,0.000,0.000,0.000,0.000,0.000,0.000
water.walk,0,0.000,260112,4.246,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.626,0.479,0.000,0.026,0.000,0.452,0.000,0.000,0.000,0.000,0.000,0.000,0.000
water.walk,0,0.001,238532,4.333,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.205,0.093,0.000,0.021,0.000,0.071,0.000,0.000,0.000,0.000,0.000,0.000,0.000
water.walk,0,0.001,196124,3.673,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.200,0.087,0.000,0.021,0.000,0.066,0.000,0.000,0.000,0.000,0.000,0.000,0.000
water.walk,0,0.001,3212358,15.686,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.811,1.187,0.000,0.158,0.000,1.024,0.000,0.000,0.000,0.000,0.000,0.000,0.000
water.walk,0,0.002,260724,4.529,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.664,0.505,0.000,0.033,0.000,0.472,0.000,0.000,0.000,0.000,0.000,0.000,0.000
water.walk,0,0.001,239140,4.510,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.202,0.091,0.000,0.021,0.000,0.070,0.000,0.000,0.000,0.000,0.000,0.000,0.000
water.walk,0,0.000,261024,5.270,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.634,0.482,0.000,0.030,0.000,0.452,0.000,0.000,0.000,0.000,0.000,0.000,0.000
water.walk,0,0.001,239444,4.819,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.223,0.097,0.000,0.021,0.000,0.076,0.000,0.000,0.000,0.000,0.000,0.000,0.000
water.walk,0,0.001,197036,3.172,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.205,0.089,0.000,0.019,0.000,0.069,0.000,0.000,0.000,0.000,0.000,0.000,0.000
water.walk,0,0.000,197188,2.937,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.194,0.086,0.000,0.018,0.000,0.067,0.000,0.000,0.000,0.000,0.000,0.000,0.000
water.walk,0,0.000,202605,3.005,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.198,0.086,0.000,0.019,0.000,0.067,0.000,0.000,0.000,0.000,0.000,0.000,0.000
water.walk,0,0.000,261784,4.713,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.600,0.465,0.000,0.023,0.000,0.441,0.000,0.000,0.000,0.000,0.000,0.000,0.000
water.walk,0,0.001,240204,5.084,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.236,0.099,0.000,0.023,0.000,0.075,0.000,0.000,0.000,0.000,0.000,0.000,0.000
water.walk,0,0.000,197796,3.086,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.210,0.089,0.000,0.021,0.000,0.067,0.000,0.000,0.000,0.000,0.000,0.000,0.000
water.walk,0,0.001,197948,2.956,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.203,0.094,0.000,0.017,0.000,0.077,0.000,0.000,0.000,0.000,0.000,0.000,0.000
water.walk,0,0.001,198100,3.494,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.196,0.088,0.000,0.020,0.000,0.068,0.000,0.000,0.000,0.000,0.000,0.000,0.000
water.walk,0,0.001,262544,4.347,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.658,0.494,0.000,0.033,0.000,0.460,0.000,0.000,0.000,0.000,0.000,0.000,0.000
water.walk,0,0.000,240964,4.445,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.209,0.093,0.000,0.020,0.000,0.073,0.000,0.000,0.000,0.000,0.000,0.000,0.000
water.walk,0,0.000,198556,3.675,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.216,0.092,0.000,0.022,0.000,0.070,0.000,0.000,0.000,0.000,0.000,0.000,0.000
water.walk,0,0.001,198708,3.392,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.264,0.119,0.000,0.028,0.000,0.090,0.000,0.000,0.000,0.000,0.000,0.000,0.000
water.walk,0,0.000,198860,3.016,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.202,0.086,0.000,0.018,0.000,0.068,0.000,0.000,0.000,0.000,0.000,0.000,0.000
water.walk,0,0.000,316610,5.197,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.823,0.629,0.000,0.029,0.000,0.599,0.000,0.000,0.000,0.000,0.000,0.000,0.000
water.walk,0,0.001,448746,5.540,0.000,0.000,0.276,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.232,0.110,0.000,0.024,0.000,0.086,0.000,0.000,0.000,0.000,0.000,0.000,0.000
water.walk,0,0.000,199772,3.652,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.226,0.103,0.000,0.023,0.000,0.080,0.000,0.000,0.000,0.000,0.000,0.000,0.000
water.walk,0,0.001,199976,3.469,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.244,0.104,0.000,0.027,0.000,0.077,0.000,0.000,0.000,0.000,0.000,0.000,0.000
water.walk,0,0.001,200076,3.268,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.212,0.097,0.000,0.020,0.000,0.077,0.000,0.000,0.000,0.000,0.000,0.000,0.000
water.walk,0,0.001,264520,5.127,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.707,0.534,0.000,0.031,0.000,0.502,0.000,0.000,0.000,0.000,0.000,0.000,0.000
water.walk,0,0.001,242940,5.374,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.239,0.103,0.000,0.027,0.000,0.075,0.000,0.000,0.000,0.000,0.000,0.000,0.000
water.walk,0,0.000,200532,3.188,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.200,0.090,0.000,0.021,0.000,0.069,0.000,0.000,0.000,0.000,0.000,0.000,0.000
water.walk,0,0.000,200684,3.590,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.202,0.087,0.000,0.020,0.000,0.067,0.000,0.000,0.000,0.000,0.000,0.000,0.000
water.walk,0,0.001,439843,6.256,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.203,0.876,0.000,0.076,0.000,0.798,0.000,0.000,0.000,0.000,0.000,0.000,0.000
water.walk,0,0.001,243548,4.772,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.233,0.101,0.000,0.022,0.000,0.079,0.000,0.000,0.000,0.000,0.000,0.000,0.000
water.walk,0,0.000,201140,3.301,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.212,0.095,0.000,0.020,0.000,0.074,0.000,0.000,0.000,0.000,0.000,0.000,0.000
water.walk,0,0.001,201292,3.329,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.221,0.096,0.000,0.021,0.000,0.074,0.000,0.000,0.000,0.000,0.000,0.000,0.000
water.walk,0,0.001,265736,4.757,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.623,0.472,0.000,0.025,0.000,0.447,0.000,0.000,0.000,0.000,0.000,0.000,0.000
water.walk,0,0.001,244156,4.888,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.254,0.103,0.000,0.023,0.000,0.080,0.000,0.000,0.000,0.000,0.000,0.000,0.000
water.walk,0,0.001,201748,3.199,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.229,0.097,0.000,0.024,0.000,0.073,0.000,0.000,0.000,0.000,0.000,0.000,0.000
water.walk,0,0.001,201900,3.993,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.218,0.095,0.000,0.022,0.000,0.073,0.000,0.000,0.000,0.000,0.000,0.000,0.000
water.walk,0,0.001,202052,3.449,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.248,0.107,0.000,0.027,0.000,0.079,0.000,0.000,0.000,0.000,0.000,0.000,0.000
water.walk,0,0.000,266496,4.178,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.633,0.489,0.000,0.028,0.000,0.461,0.000,0.000,0.000,0.000,0.000,0.000,0.000
water.walk,0,0.000,244916,4.606,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.188,0.083,0.000,0.018,0.000,0.064,0.000,0.000,0.000,0.000,0.000,0.000,0.000
water.walk,0,0.000,202508,3.488,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.227,0.098,0.000,0.023,0.000,0.074,0.000,0.000,0.000,0.000,0.000,0.000,0.000
